Ticker,EV1,EV2,EV3
AAPL,0.10710285062966425,0.059613796218132904,-0.15594313247910166
ABBV,0.08031331370151074,-0.04923918514729844,-0.02318466088275445
ABT,0.10394091344742243,-0.0715144848157725,-0.09821854630750626
ADBE,0.09629522778579007,0.062186260015651196,-0.20362446806059564
AEM,0.02590506933696701,-0.0575754864583774,-0.02652361551335647
AEP,0.08146424604855644,-0.23858954794021786,0.016058681523749285
AMAT,0.10350300115290365,0.13840495478858236,-0.13991394047570177
AMD,0.07184437171207655,0.11418043151364214,-0.15349020803329477
AMGN,0.09164253466818158,-0.06074563835379788,-0.06790375799364871
AMT,0.09230087196249855,-0.15082571134108735,-0.05558068561676399
AMZN,0.08280205612308499,0.103346948762817,-0.20345656230462855
APD,0.11202421429608139,-0.02086895709776937,0.0005538720326679663
AVGO,0.09300174542032759,0.12772135321978703,-0.1355479764294372
AXP,0.12231437747990857,0.09034765301317114,0.09533462071197066
BA,0.10380050791651309,0.07624396641043854,0.08491045289974539
BAC,0.12260836123870325,0.11299557036528231,0.13495375768752793
BKNG,0.1004576295415379,0.09873085412336084,-0.004356681548014877
BLK,0.1330967868787271,0.057883462963748175,-0.021403045747029094
BMY,0.07334791687854528,-0.0680775613754446,-0.007534244550258079
C,0.12444156869424365,0.12057332763093598,0.13109815223102544
CAT,0.10870356876794736,0.11063816281408026,0.09605369796776335
CB,0.11104091682382242,-0.04632749849632346,0.1224085297856572
CL,0.09029502829137377,-0.1973189680786858,-0.032767317229841476
CMCSA,0.10156818667584062,-0.005238604008876722,0.0005652189230520988
COP,0.09582039239455399,0.08665065842618949,0.2093599076504052
COST,0.09178209671713496,-0.039069233425591925,-0.1501219217466032
CSCO,0.11233991003636204,0.03238403295081164,-0.06368658473714385
CVS,0.08156272455145529,-0.04668855775344868,0.042526508621902825
CVX,0.10799149523268335,0.05488818262313707,0.2002922908252471
DE,0.1038081810558102,0.057601313530475,0.08689367732143555
DHR,0.08992219910628374,-0.02059564542060573,-0.12321981891566056
DIS,0.10617248057528889,0.06579183144401865,0.026631429306383146
DUK,0.08967132055201261,-0.23907684489164188,0.053247907430390984
ECL,0.1220544683666053,-0.020762464855696647,-0.007599634790979481
EOG,0.08610839732739829,0.0935612187813686,0.2067185386658022
EXC,0.0982537451691943,-0.17278858353075727,0.04710523963786516
F,0.0994940557314254,0.0741397352539026,0.08037427543758702
FCX,0.09124166251596864,0.10776207891280279,0.0719297972641788
FDX,0.10149334380935222,0.07382760827678063,-0.001226345146471213
FNV,0.02827970791078546,-0.05210749878540892,-0.03173557200684286
GE,0.0982324046085835,0.07813581973281258,0.10152832443656266
GILD,0.07142511489377329,-0.049541421267569025,-0.04889245412231795
GOLD,0.03019113994626504,0.01866718093490092,-0.01173789048456663
GOOGL,0.09936403349525687,0.08467506056448909,-0.16086770034693662
GS,0.12478876194907855,0.1231102110013254,0.08513392544836243
HD,0.11914430900224024,-0.0086419562286428,-0.07274452158268849
HON,0.1300187746310454,0.023707301232818574,0.06384212587440521
HUM,0.06917236260765247,-0.032039893118027025,0.0035327740988521194
IBM,0.10492142971455207,0.00400640478738929,0.03122459767948949
INTC,0.0888930991907894,0.0750067716197367,-0.09717757389512018
JNJ,0.09443071500899054,-0.14433709580811596,-0.01062455542819324
JPM,0.1262887429087915,0.09703895311702371,0.1346863625334174
KMB,0.07577101775990766,-0.19198622986493616,-0.035360765678809955
KO,0.10495516472232232,-0.16466450644720312,0.04019469243913213
LIN,0.12128826797728255,0.007646762739905244,-0.00415897689287353
LLY,0.06992322787169483,-0.06407673836261092,-0.0737594407150314
LMT,0.08719869043488822,-0.07033037475953294,0.06189087991333491
LOW,0.1104055834776032,0.010020977192438992,-0.04824671856026506
LRCX,0.10257619433923004,0.14009722739849334,-0.1401737255083385
MA,0.12635868325064134,0.04325614216134811,-0.04989655844801163
MCD,0.10430950476600089,-0.07534758791358717,0.008881532550335672
MDLZ,0.10186461722020675,-0.14298007522485384,-0.028770487979157596
MDT,0.11009758423785383,-0.042415071815372477,0.020132344626661487
MO,0.08182274687012094,-0.1155597367272788,0.08410196086616165
MRK,0.08339716826618855,-0.1005937201854025,-0.011431482801060685
MS,0.12760103531465788,0.12087818538986686,0.08103203438981053
MSFT,0.11110494047535731,0.05970930138768818,-0.19085188928863994
NEE,0.08792837776018961,-0.1775439366618097,-0.0259660007059567
NEM,0.036242819672405405,-0.05974789542504779,-0.01297235823091896
NFLX,0.06347547931063657,0.07676401273386238,-0.1689922599832196
NKE,0.09786141810455898,0.034378172273610494,-0.05551145965065388
NUE,0.10318994113493735,0.09272720732587816,0.08352175364608205
NVDA,0.08588777235039999,0.1429447117198991,-0.19976452133541248
O,0.09562186484475076,-0.11371559324754181,0.0676469433194946
ORCL,0.08472773085030735,0.05514536014724467,-0.08571513579945975
PEP,0.10403930495687004,-0.18145239420626175,-0.03833408589989291
PFE,0.0856126828061542,-0.08059018321498217,-0.022156689116888634
PG,0.09496644299583654,-0.18833810747339455,-0.04846067531985489
PLD,0.11313761309015458,-0.07553459880691084,-0.04885090998451462
PM,0.08930147180962872,-0.11280780235092719,0.054806728819425415
QCOM,0.0949005459209857,0.11136892525213159,-0.13047184068497025
RTX,0.11122095415344217,0.01938971752957674,0.1258927458342815
SBUX,0.10608822579513058,0.021512510070064432,-0.038745761742766914
SCHW,0.1042584067313164,0.11147732160120442,0.08448363121042071
SHW,0.1066209925808606,-0.017561053748403662,-0.07482688160080886
SLB,0.09398140826042631,0.10449516681240706,0.21819970698631536
SO,0.08950435437735191,-0.22920778554534296,0.04219300815820821
SPG,0.10112281866962816,0.01885250003658427,0.1399628894834104
SPGI,0.11809081576118619,0.01664095818945322,-0.07621740047680807
SRE,0.09718694507590496,-0.12485715952744762,0.07476210667262904
T,0.08969008132688981,-0.09652929338586372,0.09719126855208739
TGT,0.07742989840122505,0.0037531498467810545,-0.0547859663836669
TJX,0.10686722460919994,0.008028220905166762,0.03337736295715268
TMO,0.10062613032092274,-0.014102169991435477,-0.1462426611753503
TMUS,0.08432643569107814,-0.028871066920136502,-0.04859820082427128
TXN,0.1124446785016021,0.09121408582176248,-0.12474121366261887
UNH,0.08567512107714413,-0.045557914378292964,-0.009604121165384016
UPS,0.09740324882385233,0.021687209196086937,-0.04138182966582278
V,0.12553879479023144,0.032121392852595715,-0.04937005349844347
VZ,0.07864761665723438,-0.1425229927122902,0.05215752203808043
WFC,0.11627001685855792,0.08971665236073281,0.14582384709496013
WMT,0.0741030687884977,-0.08268807137790964,-0.07477804442035373
